slot,cik,company_name,ticker,industry,form_type,filing_date,accession_number,edgar_url,fiscal_year,source_url,raw_html_path
55,1037868,Ametek,AME,"Berwyn, Pennsylvania",DEF 14A,2024-03-12,0001037868-24-000022,https://www.sec.gov/Archives/edgar/data/1037868/000103786824000022/ame-20240312.htm,2023,https://www.sec.gov/Archives/edgar/data/1037868/000103786824000022/ame-20240312.htm,
56,1037868,Ametek,AME,"Berwyn, Pennsylvania",DEF 14A,2025-03-12,0001037868-25-000022,https://www.sec.gov/Archives/edgar/data/1037868/000103786825000022/ame-20250312.htm,2024,https://www.sec.gov/Archives/edgar/data/1037868/000103786825000022/ame-20250312.htm,
57,318154,Amgen,AMGN,"Thousand Oaks, California",DEF 14A,2024-04-17,0001193125-24-099062,https://www.sec.gov/Archives/edgar/data/318154/000119312524099062/d445034ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/318154/000119312524099062/d445034ddef14a.htm,
58,318154,Amgen,AMGN,"Thousand Oaks, California",DEF 14A,2025-04-09,0000950170-25-052315,https://www.sec.gov/Archives/edgar/data/318154/000095017025052315/amgn-20250408.htm,2024,https://www.sec.gov/Archives/edgar/data/318154/000095017025052315/amgn-20250408.htm,
59,820027,Ameriprise Financial,AMP,"Minneapolis, Minnesota",DEF 14A,2024-03-15,0001140361-24-013509,https://www.sec.gov/Archives/edgar/data/820027/000114036124013509/ny20016516x2_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/820027/000114036124013509/ny20016516x2_def14a.htm,
60,820027,Ameriprise Financial,AMP,"Minneapolis, Minnesota",DEF 14A,2025-03-21,0001104659-25-026644,https://www.sec.gov/Archives/edgar/data/820027/000110465925026644/tm2422571-3_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/820027/000110465925026644/tm2422571-3_def14a.htm,
61,1053507,American Tower,AMT,"Boston, Massachusetts",DEF 14A,2024-04-10,0001053507-24-000075,https://www.sec.gov/Archives/edgar/data/1053507/000105350724000075/amt-20240408.htm,2023,https://www.sec.gov/Archives/edgar/data/1053507/000105350724000075/amt-20240408.htm,
62,1053507,American Tower,AMT,"Boston, Massachusetts",DEF 14A,2025-04-02,0001053507-25-000092,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000092/amt-20250401.htm,2024,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000092/amt-20250401.htm,
63,1018724,Amazon,AMZN,"Seattle, Washington",DEF 14A,2024-04-11,0001104659-24-045910,https://www.sec.gov/Archives/edgar/data/1018724/000110465924045910/tm2329302d4_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1018724/000110465924045910/tm2329302d4_def14a.htm,
64,1018724,Amazon,AMZN,"Seattle, Washington",DEF 14A,2025-04-10,0001104659-25-033442,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033442/tm252295-1_def14a.htm,
65,1596532,Arista Networks,ANET,"Santa Clara, California",DEF 14A,2024-04-24,0001193125-24-110073,https://www.sec.gov/Archives/edgar/data/1596532/000119312524110073/d680467ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1596532/000119312524110073/d680467ddef14a.htm,
66,1596532,Arista Networks,ANET,"Santa Clara, California",DEF 14A,2025-04-16,0001193125-25-082860,https://www.sec.gov/Archives/edgar/data/1596532/000119312525082860/d916017ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1596532/000119312525082860/d916017ddef14a.htm,
67,315293,Aon plc,AON,"London, United Kingdom",DEF 14A,2024-04-29,0001193125-24-122308,https://www.sec.gov/Archives/edgar/data/315293/000119312524122308/d726535ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/315293/000119312524122308/d726535ddef14a.htm,
68,315293,Aon plc,AON,"London, United Kingdom",DEF 14A,2025-04-28,0001193125-25-100564,https://www.sec.gov/Archives/edgar/data/315293/000119312525100564/d899469ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/315293/000119312525100564/d899469ddef14a.htm,
69,91142,A. O. Smith,AOS,"Milwaukee, Wisconsin",DEF 14A,2024-02-29,0001193125-24-051896,https://www.sec.gov/Archives/edgar/data/91142/000119312524051896/d361759ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/91142/000119312524051896/d361759ddef14a.htm,
70,91142,A. O. Smith,AOS,"Milwaukee, Wisconsin",DEF 14A,2025-02-27,0001193125-25-037641,https://www.sec.gov/Archives/edgar/data/91142/000119312525037641/d897404ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/91142/000119312525037641/d897404ddef14a.htm,
71,1841666,APA Corporation,APA,"Houston, Texas",DEF 14A,2024-04-12,0001193125-24-094013,https://www.sec.gov/Archives/edgar/data/1841666/000119312524094013/d776369ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1841666/000119312524094013/d776369ddef14a.htm,
72,1841666,APA Corporation,APA,"Houston, Texas",DEF 14A,2025-04-10,0001193125-25-077464,https://www.sec.gov/Archives/edgar/data/1841666/000119312525077464/d833413ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1841666/000119312525077464/d833413ddef14a.htm,
73,2969,Air Products,APD,"Upper Macungie Township, Pennsylvania",DEF 14A,2023-12-08,0001308179-23-001066,https://www.sec.gov/Archives/edgar/data/2969/000130817923001066/apd4236421-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/2969/000130817923001066/apd4236421-def14a.htm,
74,820313,Amphenol,APH,"Wallingford, Connecticut",DEF 14A,2024-04-08,0001104659-24-044584,https://www.sec.gov/Archives/edgar/data/820313/000110465924044584/tm242665d4_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/820313/000110465924044584/tm242665d4_def14a.htm,
75,820313,Amphenol,APH,"Wallingford, Connecticut",DEF 14A,2025-04-04,0001104659-25-032005,https://www.sec.gov/Archives/edgar/data/820313/000110465925032005/tm2427714-4_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/820313/000110465925032005/tm2427714-4_def14a.htm,
76,1858681,Apollo Global Management,APO,"New York City, New York",DEF 14A,2024-04-26,0001193125-24-118090,https://www.sec.gov/Archives/edgar/data/1858681/000119312524118090/d802194ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1858681/000119312524118090/d802194ddef14a.htm,
77,1858681,Apollo Global Management,APO,"New York City, New York",DEF 14A,2025-04-25,0001193125-25-096971,https://www.sec.gov/Archives/edgar/data/1858681/000119312525096971/d920046ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1858681/000119312525096971/d920046ddef14a.htm,
78,1751008,AppLovin,APP,"Palo Alto, California",DEF 14A,2024-04-23,0001751008-24-000028,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000028/app-20240422.htm,2023,https://www.sec.gov/Archives/edgar/data/1751008/000175100824000028/app-20240422.htm,
79,1751008,AppLovin,APP,"Palo Alto, California",DEF 14A,2025-04-22,0001751008-25-000041,https://www.sec.gov/Archives/edgar/data/1751008/000175100825000041/app-20250421.htm,2024,https://www.sec.gov/Archives/edgar/data/1751008/000175100825000041/app-20250421.htm,
80,1521332,Aptiv,APTV,"Schaffhausen, Switzerland",DEF 14A,2024-03-11,0001193125-24-064797,https://www.sec.gov/Archives/edgar/data/1521332/000119312524064797/d743164ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1521332/000119312524064797/d743164ddef14a.htm,
81,1521332,Aptiv,APTV,"Schaffhausen, Switzerland",DEF 14A,2025-03-10,0000950170-25-036263,https://www.sec.gov/Archives/edgar/data/1521332/000095017025036263/aptv-20250305.htm,2024,https://www.sec.gov/Archives/edgar/data/1521332/000095017025036263/aptv-20250305.htm,
82,1035443,Alexandria Real Estate Equities,ARE,"Pasadena, California",DEF 14A,2024-04-03,0001035443-24-000133,https://www.sec.gov/Archives/edgar/data/1035443/000103544324000133/are-20240403.htm,2023,https://www.sec.gov/Archives/edgar/data/1035443/000103544324000133/are-20240403.htm,
83,1035443,Alexandria Real Estate Equities,ARE,"Pasadena, California",DEF 14A,2025-04-02,0001035443-25-000103,https://www.sec.gov/Archives/edgar/data/1035443/000103544325000103/are-20250402.htm,2024,https://www.sec.gov/Archives/edgar/data/1035443/000103544325000103/are-20250402.htm,
84,1176948,Ares Management,ARES,"Los Angeles, California",DEF 14A,2024-04-19,0001628280-24-016964,https://www.sec.gov/Archives/edgar/data/1176948/000162828024016964/ares-20240419.htm,2023,https://www.sec.gov/Archives/edgar/data/1176948/000162828024016964/ares-20240419.htm,
85,1176948,Ares Management,ARES,"Los Angeles, California",DEF 14A,2025-04-16,0001628280-25-018040,https://www.sec.gov/Archives/edgar/data/1176948/000162828025018040/ares-20250416.htm,2024,https://www.sec.gov/Archives/edgar/data/1176948/000162828025018040/ares-20250416.htm,
86,731802,Atmos Energy,ATO,"Dallas, Texas",DEF 14A,2023-12-29,0000731802-23-000036,https://www.sec.gov/Archives/edgar/data/731802/000073180223000036/ato-20231228.htm,2023,https://www.sec.gov/Archives/edgar/data/731802/000073180223000036/ato-20231228.htm,
87,731802,Atmos Energy,ATO,"Dallas, Texas",DEF 14A,2024-12-20,0000731802-24-000035,https://www.sec.gov/Archives/edgar/data/731802/000073180224000035/ato-20241218.htm,2024,https://www.sec.gov/Archives/edgar/data/731802/000073180224000035/ato-20241218.htm,
